,dwave1,dstrength1,,dwave_distance
116,2652.2438792939997,0.27789600000000014,,19.22703484
117,2676.0535673019995,0.28071600000000013,,23.80968801
118,2708.186208895999,0.2833040000000001,,32.13264159
119,2731.9420129579994,0.28660599999999997,,23.75580406
120,2754.882500479999,0.290178,,22.94048752
121,2778.8498099579983,0.2935920000000001,,23.96730948
122,2805.3240062419995,0.29643600000000003,,26.47419628
123,2829.6069762179995,0.298932,,24.28296998
124,2846.695574043999,0.3011220000000001,,17.08859783
125,2873.2678551159997,0.30334800000000006,,26.57228107
126,2896.9201824939996,0.3064680000000001,,23.65232738
127,2924.5584308539997,0.30911,,27.63824836
128,2951.634735207999,0.31187600000000015,,27.07630435
129,2981.428471831999,0.3156920000000001,,29.79373662
130,3021.2373089439993,0.31860000000000005,,39.80883711
