,dwave1,dstrength1,,dwave_distances
84,1776.391814,0.188506,,16.85594133
85,1797.883846,0.190906,,21.49203182
86,1820.749757,0.19309,,22.86591188
87,1837.41437,0.195552,,16.66461268
88,1853.374601,0.198104,,15.96023131
89,1871.002703,0.200176,,17.62810169
90,1891.53805,0.202384,,20.5353467
91,1912.674804,0.204792,,21.13675389
92,1931.150346,0.20775,,18.47554192
93,1950.271324,0.210354,,19.12097862
94,1969.71668,0.213112,,19.44535579
95,1991.30351,0.215638,,21.58683003
96,2015.187443,0.21852,,23.8839331
97,2046.17971,0.22115,,30.99226702
98,2071.141838,0.22342,,24.96212807
99,2090.046813,0.225682,,18.90497503
100,2121.078301,0.22792,,31.03148807
101,2146.989966,0.230488,,25.91166423
102,2169.795964,0.232762,,22.80599887
103,2196.130822,0.234958,,26.33485782
104,2218.008736,0.237086,,21.87791414
105,2242.09508,0.239126,,24.08634403
106,2260.663024,0.241748,,18.56794351
107,2282.55868,0.24416,,21.8956563
108,2311.948554,0.246592,,29.38987407
109,2333.423827,0.24882,,21.4752727
110,2357.115854,0.251592,,23.69202712
111,2375.319047,0.254386,,18.20319253
112,2397.151991,0.25656,,21.83294392
113,2417.393654,0.2586,,20.24166379
114,2442.958174,0.261186,,25.56451947
115,2467.005279,0.263396,,24.04710534
116,2490.193829,0.265818,,23.18854969
117,2506.473652,0.268402,,16.27982347
118,2534.270153,0.270868,,27.79650022
119,2556.741232,0.273332,,22.47107932
120,2583.667895,0.275374,,26.92666356
121,2614.595503,0.278098,,30.9276076
122,2635.227133,0.280598,,20.63162948
123,2652.142221,0.283098,,16.91508895
124,2674.627668,0.285748,,22.48544612
125,2704.724624,0.288546,,30.0969568
126,2733.979311,0.291464,,29.25468632
127,2752.533822,0.2938,,18.55451091
128,2778.01077,0.296572,,25.47694889
129,2808.665376,0.299494,,30.6546058
130,2838.065005,0.30209,,29.39962833
131,2861.78054,0.304642,,23.71553548
132,2883.919167,0.306848,,22.1386264
133,2908.612621,0.309322,,24.69345469
134,2926.121412,0.31197,,17.50879064
135,2954.442513,0.314722,,28.32110139
136,2976.938466,0.317208,,22.49595234
137,3003.266123,0.32018,,26.32765764
138,3025.461268,0.322488,,22.19514462
139,3047.631362,0.324946,,22.17009453
140,3075.079864,0.327182,,27.44850137
141,3100.592674,0.329822,,25.51281024
142,3139.47976,0.332836,,38.88708575
143,3159.285678,0.336154,,19.80591778
144,3183.617067,0.338716,,24.33138979
145,3210.714464,0.341756,,27.09739651
146,3239.022682,0.344586,,28.3082177
147,3273.658577,0.347462,,34.63589572
148,3298.850898,0.3506,,25.19232114
149,3327.187817,0.353134,,28.33691891
150,3353.840922,0.355612,,26.65310456
151,3378.247962,0.357884,,24.40703981
152,3409.193787,0.361232,,30.94582497
153,3440.405502,0.364364,,31.21171499
154,3465.58501,0.367234,,25.17950802
155,3497.242077,0.370232,,31.65706713
156,3522.885484,0.373792,,25.64340737
157,3551.597038,0.377114,,28.71155389
158,3575.9433,0.38014,,24.34626151
159,3603.619176,0.38295,,27.67587617
160,3634.160003,0.38675,,30.54082766
161,3666.683106,0.389954,,32.52310254
162,3704.101398,0.393664,,37.41829241
163,3738.669201,0.39707,,34.56780249
164,3769.050397,0.400132,,30.38119621
165,3800.155203,0.402972,,31.10480556
166,3837.80558,0.407344,,37.65037737
167,3868.077531,0.410312,,30.27195119
168,3890.302269,0.413692,,22.22473815
169,3919.024766,0.417392,,28.72249631
170,3955.090092,0.420722,,36.06532648
171,3987.026824,0.423352,,31.93673167
172,4019.873363,0.426668,,32.84653945
173,4048.121378,0.429798,,28.24801492
174,4077.640765,0.432754,,29.51938655
175,4114.947963,0.435828,,37.30719849
176,4153.091917,0.438372,,38.14395365
177,4180.369061,0.44097,,27.27714421
178,4216.523373,0.445648,,36.15431199
179,4241.44258,0.449456,,24.91920732
180,4275.191682,0.453282,,33.74910174
181,4301.849608,0.456724,,26.65792634
182,4328.528922,0.459402,,26.67931376
183,4356.387325,0.46227,,27.85840249
184,4385.837869,0.464972,,29.45054446
185,4421.687457,0.468788,,35.84958802
186,4450.889522,0.472882,,29.20206493
187,4482.004742,0.476436,,31.11522028
188,4510.158612,0.479124,,28.15386936
189,4530.315536,0.481968,,20.15692481
190,4556.884201,0.48506,,26.56866446
191,4590.611534,0.489038,,33.72733337
