index,distance,,eucled_distance
95,0.977393789,,0.372916182
96,1.108063465,,0.382308574
97,1.302605378,,0.384185433
98,2.646057501,,0.385676481
99,0.499291096,,0.385676481
100,0.265459762,,0.386602963
101,0.164042199,,0.387884137
102,0.960273064,,0.396236297
103,0.908615807,,0.404395871
104,0.73333686,,0.408591854
105,0.607977964,,0.421573294
106,1.493668132,,0.423578704
107,0.588220254,,0.4419032
108,0.609536864,,0.458501785
109,0.72862897,,0.474093885
110,0.997791042,,0.488909005
111,0.470169269,,0.489433768
112,0.390482721,,0.507225026
113,1.238599409,,0.509070109
114,0.755579729,,0.523747414
115,0.403485575,,0.52591824
116,0.357983771,,0.530900176
117,0.604302519,,0.53778295
118,0.372391349,,0.551641608
119,0.53018051,,0.570900727
120,0.294556678,,0.587108253
121,0.334985236,,0.592606419
122,1.112308783,,0.603708175
123,0.677127599,,0.609804627
124,0.787407942,,0.612189444
125,2.189487235,,0.620011267
126,0.884169043,,0.620236613
127,0.811867919,,0.659129518
128,1.201906939,,0.660328434
129,1.201906939,,0.666996395
130,1.160507573,,0.686385734
131,3.159986091,,0.70193507
132,0.531350641,,0.70193507
133,0.27312692,,0.712650299
134,0.318270151,,0.731249934
135,0.454915273,,0.740181811
136,1.835169758,,0.760092058
137,1.737708835,,0.76088707
138,1.318533702,,0.772106239
139,4.259556627,,0.781754896
140,0.776986599,,0.825582684
141,0.938049485,,0.839516712
142,1.797189307,,0.879936836
143,0.485916526,,0.883589513
144,0.828483997,,0.910492306
145,1.152347118,,0.922124357
146,1.053315634,,0.927315013
147,3.734483979,,0.94105365
148,0.328506844,,0.955298619
149,0.388923814,,0.959920509
150,0.439439642,,0.979722511
151,4.25489317,,0.983975986
152,0.688544759,,0.983975986
153,0.57947779,,0.995586963
154,0.354545737,,0.996773246
155,4.357168549,,0.997271472
156,0.780899883,,1.008319236
157,0.206277809,,1.027039958
158,0.713491492,,1.053557972
159,0.664758001,,1.059211962
160,0.742725796,,1.063862477
161,0.76980934,,1.070900606
162,0.525085976,,1.109473824
163,3.312820767,,1.112740478
164,0.580314302,,1.124678943
165,0.366620621,,1.148054932
166,0.130135045,,1.183103835
167,3.321009133,,1.198440214
168,1.720810853,,1.219016575
169,1.512341471,,1.227804643
170,0.998385319,,1.237230828
171,3.751660339,,1.242327944
172,0.149126889,,1.251576815
173,0.539476019,,1.313697223
174,0.525456058,,1.32790388
175,1.029180238,,1.334754559
176,0.559254586,,1.334754559
